,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD,RAD
radius,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0,150.0,155.0,160.0,165.0,170.0,175.0,180.0,185.0,190.0,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0,245.0,250.0,255.0,260.0,265.0,270.0,275.0,280.0,285.0,290.0,295.0,300.0,305.0,310.0,315.0,320.0,325.0,330.0,335.0,340.0,345.0,350.0,355.0,360.0,365.0,370.0,375.0,380.0,385.0,390.0,395.0,400.0,405.0,410.0,415.0,420.0,425.0,430.0,435.0,440.0,445.0,450.0,455.0,460.0,465.0,470.0,475.0,480.0,485.0,490.0,495.0,500.0,505.0,510.0,515.0,520.0,525.0,530.0,535.0,540.0,545.0,550.0,555.0,560.0,565.0,570.0,575.0,580.0,585.0,590.0,595.0,600.0
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-23 18:00:00.000000000,-13.41666042804718,-12.960708022117615,-13.12767243385315,-17.351382613182068,-17.12220859527588,-18.451185539364815,-19.061515778303146,-20.235013246536255,-22.97780305147171,-22.674907207489014,-25.880664587020874,-29.41117811203003,-33.56407690048218,-36.54680299758911,-37.83296537399292,-38.115867376327515,-39.55242657661438,-39.783225387334824,-39.18110179901123,-37.30989146232605,-37.53004288673401,-36.980748414993286,-38.14848303794861,-37.26807451248169,-36.78132367134094,-35.80991244316101,-36.55245065689087,-36.94274592399597,-36.34889268875122,-36.35458540916443,-33.4623486995697,-34.20035409927368,-34.63864731788635,-35.00790524482727,-33.84033966064453,-32.7331006526947,-30.51903533935547,-28.92591667175293,-27.292706727981567,-26.301175832748413,-24.947481632232666,-24.588876485824585,-22.879729509353638,-22.118125200271606,-20.28460383415222,-19.74962854385376,-18.87205719947815,-19.510245323181152,-18.366554975509644,-18.84829831123352,-18.69603991508484,-16.608333826065063,-16.199349403381348,-16.55401635169983,-16.983896732330322,-16.578420400619507,-16.28706979751587,-16.391255617141724,-17.682384490966797,-17.053508758544922,-17.671653985977173,-16.633575439453125,-17.358635425567627,-17.042994260787964,-17.59664559364319,-17.454015970230103,-18.184755086898804,-16.610954999923706,-15.55420207977295,-13.677795648574829,-12.801515817642212,-11.497861385345459,-10.341777682304382,-10.007686614990234,-8.51725821197033,-8.131981879472733,-8.63604325056076,-8.55069351196289,-8.194690942764282,-8.00518536567688,-7.509504318237305,-7.861664533615112,-7.771805286407471,-7.758411884307861,-7.384840965270996,-7.34296727180481,-7.099536299705505,-7.332665681838989,-6.391389489173889,-7.134748816490173,-6.987533807754517,-6.651569604873657,-5.781067252159119,-5.346665143966675,-5.365699052810669,-5.364704489707947,-4.319188237190247,-3.6811797618865967,-3.2515232264995575,-1.881324078887701,-0.3326265215873718,0.21377551555633545,0.5895471572875977,1.0159823298454285,0.9677998423576355,0.9194722771644592,0.79573655128479,0.8314991593360901,0.6628721356391907,-0.12159807235002518,-1.088628426194191,-1.0421440601348877,-1.328342616558075,-1.203732669353485,-1.5085909813642502,-1.691991239786148,-1.39907306432724,-0.8695671260356903,-0.043693363666534424,-0.3499731421470642
2005-08-23 18:30:00.000013000,-26.399993896484375,-22.76070809364319,-24.87499338388443,-24.60818302631378,-23.9079487323761,-23.4716854095459,-22.80424463748932,-22.807194530963898,-22.54453754425049,-20.788330554962158,-22.000514805316925,-24.53563803434372,-29.536426842212677,-34.82385063171387,-37.13394546508789,-37.40591740608215,-39.4508501291275,-38.08254873752594,-39.51855571568012,-40.33138673007488,-39.009591698646545,-39.84686350822449,-39.39755129814148,-37.45063400268555,-37.10594367980957,-37.11075687408447,-35.26320147514343,-36.32135486602783,-35.16897487640381,-35.60238003730774,-34.933024406433105,-34.445035219192505,-33.958234548568726,-32.938305377960205,-33.01268815994263,-31.402589321136475,-31.61296319961548,-31.023120880126953,-30.319702625274658,-29.029539108276367,-28.070188760757446,-26.596029043197632,-24.515018701553345,-23.049603700637817,-19.760314464569092,-19.67151165008545,-18.863502740859985,-18.08708667755127,-18.798655033111572,-17.936542749404907,-17.521578788757324,-17.907882928848267,-17.20336079597473,-17.00041913986206,-17.98573398590088,-17.11448836326599,-16.415297269821167,-17.294198751449585,-17.216344356536865,-17.66953754425049,-18.21279764175415,-17.04090690612793,-17.254814863204956,-17.690180778503418,-16.71640634536743,-17.225158214569092,-17.116853713989258,-16.95912456512451,-17.893641233444214,-16.939541816711426,-14.898661851882935,-13.167060613632202,-12.238429307937622,-10.754268288612366,-8.688214659690857,-7.914541304111481,-7.2887163162231445,-7.578394293785095,-7.927240252494812,-7.815918326377869,-7.417609453201294,-7.130880415439606,-7.526131987571716,-7.9976630210876465,-8.16959834098816,-8.216033697128296,-7.991843223571777,-7.975326299667358,-7.846116423606873,-7.339916944503784,-6.1711732149124146,-5.835103273391724,-5.490923285484314,-5.184992790222168,-4.994386255741119,-4.907697916030884,-4.267491564154625,-3.738189585506916,-4.024277422577143,-3.7702507972717285,-3.407853454351425,-2.7267686128616333,-2.501216173171997,-1.7840807437896729,-1.2585792541503906,-1.0034886598587036,-0.6347243785858154,0.30202537775039673,0.4482814073562622,0.35228532552719116,0.7652506902813911,0.6917032077908516,0.26141295209527016,-0.2822713851928711,-0.4944537878036499,-0.968708872795105,-0.6776003241539001,-0.9044628739356995,0.06079047918319702,-0.01895168423652649
2005-08-23 19:00:00.000027000,-31.212493896484375,-31.614280223846436,-28.958327293395996,-25.32474136352539,-26.4809467792511,-25.240331411361694,-25.03357243537903,-24.14761447906494,-24.746983408927917,-23.542971722781658,-24.33678165450692,-24.976537376642227,-29.46340698003769,-31.282634735107422,-33.416656136512756,-35.26340889930725,-36.92288389801979,-39.063384369015694,-39.14668729901314,-39.74339044094086,-39.5379319190979,-39.548200726509094,-38.44691061973572,-37.86491394042969,-39.002309918403625,-37.64785552024841,-36.88763236999512,-36.342111587524414,-34.97971844673157,-34.01012706756592,-33.908302545547485,-32.5379319190979,-33.35856819152832,-32.34857988357544,-33.03292369842529,-32.18220520019531,-32.044700145721436,-31.444956302642822,-31.61214590072632,-30.821345806121826,-29.766875743865967,-29.096802234649658,-26.47580599784851,-25.71708345413208,-24.50882863998413,-22.692407369613647,-20.59570550918579,-20.14841365814209,-18.638355016708374,-18.1857967376709,-17.741769552230835,-16.48028039932251,-16.372304916381836,-16.413289070129395,-16.702736139297485,-17.099491834640503,-17.342281103134155,-16.909185647964478,-17.886265516281128,-17.814148426055908,-18.48031187057495,-19.163065433502197,-19.373175859451294,-19.735506772994995,-19.90042233467102,-19.54991388320923,-20.554808378219604,-20.155494213104248,-18.04392409324646,-17.99932026863098,-17.26985478401184,-15.601814270019531,-14.599262952804565,-12.849076747894287,-11.648898124694824,-10.164666533470154,-9.562731266021729,-8.167124629020691,-8.542080521583557,-9.34278154373169,-9.131513595581055,-8.68973183631897,-8.149496912956238,-8.768174648284912,-8.91132640838623,-8.199905633926392,-7.968135595321655,-8.80301833152771,-8.12637484073639,-7.442731142044067,-7.038551211357117,-6.187466621398926,-6.052654385566711,-4.971450448036194,-4.826852321624756,-4.748426377773285,-4.195721745491028,-3.7644008696079254,-2.6175781190395355,-3.520389676094055,-3.7622509598731995,-4.373047173023224,-4.913485407829285,-5.0154523849487305,-4.4435542821884155,-3.6536951065063477,-2.2767070531845093,-1.9483871459960938,-1.1821234226226807,-0.3517869710922241,0.5472242832183838,1.0205892026424408,1.1055138111114502,1.0972352027893066,0.8862504251301289,1.4992675483226776,0.18390363454818726,-0.35255371034145355,-0.10066935420036316,0.27253860235214233
2005-08-23 19:30:00.000000000,-37.379159927368164,-35.062493324279785,-32.62618446350098,-30.439737796783447,-27.741694450378418,-26.05401372909546,-26.676849365234375,-26.064878821372986,-26.546282291412354,-27.386654138565063,-28.722896456718445,-29.524075953289866,-31.037320137023926,-33.31684583425522,-34.969990849494934,-34.875898361206055,-36.63622581958771,-36.7936794757843,-37.253275871276855,-37.42054283618927,-38.21041464805603,-38.64646124839783,-37.90338838100433,-37.913389801979065,-37.846646785736084,-37.72030973434448,-37.79661250114441,-35.90592360496521,-36.10589361190796,-35.02527475357056,-33.95920014381409,-33.57368993759155,-32.76415729522705,-32.52197885513306,-32.527528524398804,-31.09536576271057,-30.809062004089355,-30.721156120300293,-31.366294860839844,-32.208977699279785,-32.85022711753845,-30.451749086380005,-29.440539360046387,-28.259472370147705,-25.524362087249756,-25.35334587097168,-23.16186285018921,-20.53899049758911,-21.149824380874634,-19.7701518535614,-18.504395961761475,-17.27825117111206,-16.790934562683105,-17.41620135307312,-16.490437030792236,-16.08129334449768,-16.536925077438354,-17.36870288848877,-18.04208469390869,-18.57267689704895,-19.494922637939453,-19.84443163871765,-19.961491346359253,-21.807080268859863,-22.42894458770752,-23.38203716278076,-23.899657487869263,-22.90803897380829,-22.392118453979492,-21.20581316947937,-20.063282251358032,-17.376047134399414,-15.735986948013306,-13.585235118865967,-13.034225225448608,-11.887624621391296,-11.021707773208618,-10.062989354133606,-10.242882490158081,-10.240030765533447,-10.656641483306885,-10.606039762496948,-9.796869993209839,-9.369305849075317,-9.043144226074219,-8.65342116355896,-8.326858043670654,-8.385233402252197,-7.5700013637542725,-7.2832865715026855,-7.084544658660889,-6.679552435874939,-5.556129574775696,-4.819670081138611,-4.418442964553833,-3.7844369411468506,-4.057582378387451,-2.232316255569458,-3.0113967657089233,-3.2146336510777473,-4.186213135719299,-4.457013547420502,-5.1795085072517395,-5.681700110435486,-5.0611408948898315,-5.244540572166443,-3.952033519744873,-3.8673336505889893,-3.7684406042099,-2.572892665863037,-1.8235633373260498,-0.35469943284988403,0.9351606369018555,1.7775089144706726,1.652549535036087,1.483997792005539,1.0316089540719986,0.9073216542601585,1.0844681113958359,0.9628704935312271
2005-08-23 20:00:00.000013000,-36.23332738876343,-35.183326721191406,-34.39999341964722,-30.32423734664917,-29.071697235107422,-27.98680067062378,-29.979544639587402,-29.674840927124023,-30.32902717590332,-31.834022521972656,-31.756820678710938,-31.6637422144413,-31.471779614686966,-34.271902576088905,-35.09294751286507,-36.72454595565796,-37.67487633228302,-36.82529836893082,-37.510480761528015,-36.821839570999146,-36.460930585861206,-35.981741428375244,-36.50870442390442,-36.43806338310242,-37.353246450424194,-36.8707857131958,-36.281413316726685,-36.697444438934326,-35.86930465698242,-35.364365339279175,-35.13899612426758,-34.28864049911499,-33.76063394546509,-33.50075840950012,-33.281524658203125,-33.03065633773804,-32.332353591918945,-31.894371032714844,-31.290417671203613,-31.930912494659424,-30.0987811088562,-30.63833785057068,-29.848114013671875,-29.040499925613403,-29.020968675613403,-28.86056637763977,-26.482579708099365,-25.764136791229248,-23.16478395462036,-20.25986099243164,-19.351765155792236,-18.852046012878418,-17.366899967193604,-18.278717756271362,-16.6076420545578,-16.793542861938477,-15.045900344848633,-16.443124294281006,-16.350802898406982,-18.994651794433594,-18.902613759040833,-19.452922821044922,-21.344402313232422,-21.717642784118652,-21.989373922348022,-23.134438276290894,-22.976938247680664,-24.1860853433609,-23.131280422210693,-22.020275473594666,-22.255425453186035,-21.41669774055481,-19.033194065093994,-17.723631620407104,-15.541272640228271,-14.290800213813782,-12.897744178771973,-12.118374228477478,-10.658727049827576,-10.848325967788696,-11.132685422897339,-9.799861192703247,-10.10495114326477,-8.975471496582031,-9.65616512298584,-8.637843132019043,-8.586958408355713,-7.945315361022949,-8.23126482963562,-7.592949867248535,-7.625716328620911,-7.328618347644806,-6.2667882442474365,-5.467339277267456,-4.325807690620422,-2.958651065826416,-3.5331037044525146,-3.4211284518241882,-3.051932215690613,-2.770252048969269,-3.863090544939041,-4.304373204708099,-4.914448857307434,-4.50728440284729,-4.306371212005615,-4.229798793792725,-4.093492388725281,-3.834173321723938,-4.053820610046387,-4.7767393589019775,-3.9007184505462646,-1.9136436581611633,-0.19541800022125244,0.5743089318275452,1.3401175737380981,1.4403842389583588,1.0221190452575684,1.4292007982730865,1.3690783828496933,1.3339354246854782
2005-08-23 20:30:00.000027000,-33.27499437332153,-29.985707759857178,-24.225886821746826,-24.69974112510681,-23.21066403388977,-27.474836587905884,-30.806591510772705,-31.929017543792725,-33.05595588684082,-34.85967493057251,-36.189409494400024,-34.023807525634766,-34.07577085494995,-35.94116652011871,-36.92465949058533,-36.986175298690796,-38.53476846218109,-39.01746916770935,-38.27303144335747,-37.064460545778275,-37.319139897823334,-36.96410882472992,-36.72024190425873,-35.921661138534546,-36.054922580718994,-34.703596115112305,-36.097869873046875,-35.494022369384766,-35.6282172203064,-34.714943647384644,-33.79264211654663,-32.810328006744385,-32.19228148460388,-32.20320248603821,-33.45167112350464,-33.778342485427856,-33.53279995918274,-34.01661658287048,-34.159499406814575,-32.03674077987671,-31.595425367355347,-30.969290018081665,-29.885730028152466,-30.48298478126526,-28.978705167770386,-27.986690282821655,-27.676408767700195,-26.651514530181885,-25.669934391975403,-24.38267993927002,-22.319015502929688,-21.22727346420288,-19.732369661331177,-19.1887845993042,-18.163218021392822,-18.988169074058533,-18.384374976158142,-18.49380898475647,-18.610888719558716,-19.028348684310913,-20.265807390213013,-21.287732183933258,-21.526261568069458,-22.541048526763916,-23.339948058128357,-23.00590205192566,-23.60679042339325,-23.64973556995392,-23.16742777824402,-23.003057718276978,-21.10315752029419,-19.812264442443848,-19.658620834350586,-17.95678400993347,-16.427329540252686,-16.289579391479492,-15.287762641906738,-14.15366244316101,-13.522679805755615,-12.064541816711426,-10.941450357437134,-9.380415916442871,-9.023592948913574,-9.091540336608887,-9.301950454711914,-8.495470523834229,-8.687923192977905,-7.519349575042725,-6.893293142318726,-5.822716236114502,-6.240450501441956,-5.870541989803314,-5.8874876499176025,-6.003182888031006,-5.359845519065857,-5.541439175605774,-6.12304162979126,-5.554131090641022,-6.583044111728668,-4.60549795627594,-3.7638504952192307,-3.6510984897613525,-3.0509727001190186,-2.5786654949188232,-2.4220207929611206,-2.820297598838806,-3.0306873321533203,-3.60257625579834,-4.08360755443573,-4.188158214092255,-4.706055641174316,-3.825913727283478,-1.9091629385948181,-0.9288420379161835,-0.030768975615501404,1.1848208904266357,0.5230210423469543,1.1839390359818935,1.3795251622796059,2.194223128259182
2005-08-23 21:00:00.000000000,-20.420827388763428,-20.958327293395996,-19.76041078567505,-24.347196340560913,-25.919785022735596,-27.051326274871826,-28.317924976348877,-30.01403284072876,-32.79566478729248,-34.99359369277954,-36.35142660140991,-35.45053672790527,-35.878826379776,-35.754374265670776,-36.46156692504883,-37.04030251502991,-38.05141997337341,-38.220516204833984,-38.39233469963074,-38.175984025001526,-37.07258192449808,-36.904003858566284,-35.374051094055176,-35.12406277656555,-35.670342445373535,-36.47585201263428,-34.75228452682495,-34.19352650642395,-32.67870807647705,-32.351279497146606,-31.224847316741943,-30.912227392196655,-30.09674048423767,-31.20377492904663,-30.725494623184204,-30.229412317276,-31.557854652404785,-31.06779980659485,-31.298514366149902,-32.115193128585815,-32.79762840270996,-31.436323642730713,-32.37665247917175,-31.217677354812622,-30.30477237701416,-29.925650119781494,-29.16901159286499,-26.9053053855896,-27.267412662506104,-24.810787677764893,-23.738080978393555,-22.77535128593445,-21.938226461410522,-22.018784403800964,-22.963811576366425,-22.180018216371536,-22.812115013599396,-23.302293598651886,-21.790318369865417,-22.732611179351807,-21.87236773967743,-21.37876832485199,-22.19808042049408,-22.26486301422119,-22.98983597755432,-23.79667067527771,-24.31727546453476,-23.605812072753906,-22.988581657409668,-22.10725748538971,-20.774388790130615,-20.14505934715271,-17.876952171325684,-17.5065701007843,-16.128604412078857,-16.07089328765869,-13.763001918792725,-14.642677307128906,-12.812301874160767,-11.798933267593384,-10.053525567054749,-8.352472066879272,-7.270037651062012,-7.8302412033081055,-7.624591708183289,-8.415972590446472,-8.564774870872498,-7.412064433097839,-6.431538939476013,-6.107632756233215,-5.408053398132324,-5.061387121677399,-4.768031001091003,-5.098346054553986,-6.6646077036857605,-7.307381987571716,-6.983556509017944,-6.4607294499874115,-5.56463885307312,-5.537578448653221,-4.50963494181633,-3.071822226047516,-3.0679386854171753,-2.918475866317749,-1.8454503417015076,-2.206663131713867,-1.1330340504646301,-1.6690542101860046,-2.761135518550873,-2.984859883785248,-2.6831403970718384,-3.5044621229171753,-1.8806187510490417,-1.1048840284347534,-0.8896906960289925,0.37679826468229294,0.4824212044477463,0.48032521829009056,1.9102294147014618,1.3505595922470093
2005-08-23 21:30:00.000013000,-13.858327150344849,-14.441660404205322,-18.89602565765381,-24.856433629989624,-27.36565375328064,-27.839110374450684,-28.5207462310791,-29.550196647644043,-31.540437698364258,-31.578585147857666,-33.808860778808594,-35.47781705856323,-34.34209966659546,-32.42695474624634,-33.893184661865234,-34.649738788604736,-35.83652663230896,-35.7526718378067,-36.20337122678757,-36.32830059528351,-35.449061145074666,-34.34628200531006,-34.085570096969604,-34.933703780174255,-34.73508286476135,-33.89424729347229,-32.75352215766907,-32.670692920684814,-31.28735089302063,-30.764277696609497,-30.029716730117798,-28.801084756851196,-29.424741506576538,-29.33904790878296,-28.51520085334778,-28.906073570251465,-28.57273530960083,-29.364622592926025,-28.483524084091187,-28.94397473335266,-29.04597282409668,-29.39809226989746,-29.03555727005005,-30.507885694503784,-30.10238790512085,-31.2024142742157,-29.4843270778656,-29.78573966026306,-27.529893398284912,-27.890846252441406,-25.61289930343628,-23.764174699783325,-22.704261541366577,-23.43154215812683,-23.068819642066956,-23.634952008724213,-23.156773686408997,-24.091007471084595,-23.68285232782364,-23.551409125328064,-22.48072111606598,-22.459718227386475,-21.753422260284424,-21.92728090286255,-20.987025141716003,-22.51450502872467,-21.824464917182922,-21.832865238189697,-21.06876039505005,-20.979074120521545,-20.193195343017578,-18.850265979766846,-18.689162492752075,-17.144717931747437,-15.842411279678345,-15.139723777770996,-14.510703325271606,-12.711681365966797,-12.049925327301025,-10.977483034133911,-9.862258315086365,-8.736074328422546,-7.223382264375687,-6.83968859910965,-6.588760673999786,-6.971482753753662,-7.16657555103302,-7.1663371324539185,-6.852866291999817,-6.301209628582001,-6.143337905406952,-5.252766907215118,-4.968240387737751,-5.117892816662788,-6.547252655029297,-6.522722214460373,-6.941782891750336,-5.729186952114105,-6.642803251743317,-4.991211697459221,-4.38384828492417,-3.4565868973731995,-2.5867589116096497,-1.848954677581787,-1.9601571559906006,-1.297430396080017,-1.7683099508285522,-1.4570741653442383,-0.951845645904541,-1.9908561706542969,-1.8366807103157043,-2.071266084909439,-1.8479137122631073,-1.184655249118805,-0.8096098355017602,-0.484915055334568,0.46600106358528137,1.7864606529474258,1.7356806099414825,1.9027080535888672
